os,cpu,gpu,ram,kernel,driver,cpuscheduler
Omarchy,AMD Ryzen 9 5900X 12-Core Processor,NVIDIA GeForce RTX 3070,40963824,7.2.5-3-omarchy,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
183.58,5.44723,11.6978,0,15,67,43,1770,6801,1.88818,57,8.43919,0,0,4674,100800784
184.504,5.41993,11.6978,0,15,67,43,1770,6801,1.88818,57,8.43919,0,0,4674,200968339
183.525,5.44885,11.6978,0,15,67,43,1770,6801,1.88818,57,8.43919,0,0,4674,301055153
185.087,5.40288,11.6978,0,15,67,43,1770,6801,1.88818,57,8.43919,0,0,4674,401141078
183.965,5.43581,11.6978,0,15,67,43,1770,6801,1.88818,57,8.43919,0,0,4674,501229912
182.971,5.46536,14.2741,0,15,67,43,1770,6801,1.88983,58,8.46139,0,0,4705,601311957
183.952,5.43619,14.2741,0,15,67,43,1770,6801,1.88983,58,8.46139,0,0,4705,701397411
184.97,5.40628,14.2741,0,15,67,43,1770,6801,1.88983,58,8.46139,0,0,4705,801484106
183.382,5.4531,14.2741,0,15,67,43,1770,6801,1.88983,58,8.46139,0,0,4705,901563760
183.594,5.44681,14.2741,0,15,67,43,1770,6801,1.88983,58,8.46139,0,0,4705,1001649805
182.342,5.48419,8.33333,0,15,67,43,1770,6801,1.88983,58,8.46464,0,0,4799,1101774219
184.484,5.42054,8.33333,0,15,67,43,1770,6801,1.88983,58,8.46464,0,0,4799,1201858204
185.026,5.40466,8.33333,0,15,67,43,1770,6801,1.88983,58,8.46464,0,0,4799,1301942208
178.877,5.59044,8.33333,0,15,67,43,1770,6801,1.88983,58,8.46464,0,0,4799,1402024333
182.096,5.4916,8.33333,0,15,67,43,1770,6801,1.88983,58,8.46464,0,0,4799,1502108207
185.079,5.4031,9.21697,0,15,66,43,1770,6801,1.88124,57,8.46211,0,0,4795,1602190772
183.514,5.44919,9.21697,0,15,66,43,1770,6801,1.88124,57,8.46211,0,0,4795,1702276226
183.37,5.45346,9.21697,0,15,66,43,1770,6801,1.88124,57,8.46211,0,0,4795,1802355671
185.056,5.40376,9.21697,0,15,66,43,1770,6801,1.88124,57,8.46211,0,0,4795,1902437035
184.243,5.42762,9.21697,0,15,66,43,1770,6801,1.88124,57,8.46211,0,0,4795,2002518270
184.228,5.42806,9.07604,0,15,66,43,1770,6801,1.88124,57,8.45898,0,0,4782,2102597444
179.758,5.56305,9.07604,0,15,66,43,1770,6801,1.88124,57,8.45898,0,0,4782,2202682649
183.772,5.44153,9.07604,0,15,66,43,1770,6801,1.88124,57,8.45898,0,0,4782,2302730933
183.059,5.46273,9.07604,0,15,66,43,1770,6801,1.88124,57,8.45898,0,0,4782,2402816828
183.21,5.45821,9.07604,0,15,66,43,1770,6801,1.88124,57,8.45898,0,0,4782,2502897702
184.203,5.4288,8.72757,0,17,66,43,1770,6801,1.89068,57,8.46085,0,0,4799,2602978837
184.886,5.40873,8.72757,0,17,66,43,1770,6801,1.89068,57,8.46085,0,0,4799,2703066611
183.895,5.43789,8.72757,0,17,66,43,1770,6801,1.89068,57,8.46085,0,0,4799,2803144675
183.318,5.455,8.72757,0,17,66,43,1770,6801,1.89068,57,8.46085,0,0,4799,2903221990
183.197,5.45862,8.72757,0,17,66,43,1770,6801,1.89068,57,8.46085,0,0,4799,3003300864
184.062,5.43294,7.68602,0,16,66,43,1770,6801,1.89178,58,8.46141,0,0,4785,3103382659
184.186,5.42929,7.68602,0,16,66,43,1770,6801,1.89178,58,8.46141,0,0,4785,3203464873
183.373,5.45336,7.68602,0,16,66,43,1770,6801,1.89178,58,8.46141,0,0,4785,3303549608
186.448,5.36343,7.68602,0,16,66,43,1770,6801,1.89178,58,8.46141,0,0,4785,3403630002
183.85,5.43922,7.68602,0,16,66,43,1770,6801,1.89178,58,8.46141,0,0,4785,3503710857
183.529,5.44872,9.23957,0,15,65,43,1770,6801,1.89628,58,8.45576,0,0,4756,3603758621
183.852,5.43916,9.23957,0,15,65,43,1770,6801,1.89628,58,8.45576,0,0,4756,3703835076
184.236,5.42781,9.23957,0,15,65,43,1770,6801,1.89628,58,8.45576,0,0,4756,3803914630
183.797,5.44078,9.23957,0,15,65,43,1770,6801,1.89628,58,8.45576,0,0,4756,3903993145
53.4087,18.7236,9.23957,0,15,65,43,1770,6801,1.89628,58,8.45576,0,0,4756,4004076379
13.3243,75.0508,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4104160414
13.3243,75.0508,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4204249018
13.3243,75.0508,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4304336913
294.829,3.3918,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4404421547
54.9095,18.2118,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4504498472
61.9853,16.1329,10.3448,0,16,65,43,1770,6801,1.888,58,8.46354,0,0,4725,4604578066
7.8803,126.899,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,4704675541
60.5978,16.5022,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,4804760055
60.1472,16.6259,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,4904842260
58.6866,17.0397,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,5004921944
908.414,1.10082,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,5105003589
61.3715,16.2942,12.8292,0,16,65,43,1770,6801,1.89508,58,8.63251,0,0,4644,5205086883
59.4991,16.807,13.1321,0,23,66,43,1770,6801,2.60428,58,8.74055,0,0,4725,5305165988
58.0992,17.2119,13.1321,0,23,66,43,1770,6801,2.60428,58,8.74055,0,0,4725,5405249092
61.1269,16.3594,13.1321,0,23,66,43,1770,6801,2.60428,58,8.74055,0,0,4725,5505329127
59.9259,16.6873,13.1321,0,23,66,43,1770,6801,2.60428,58,8.74055,0,0,4725,5605412561
61.1662,16.3489,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,5705495706
58.7469,17.0222,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,5805575020
59.5039,16.8056,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,5905656085
60.8082,16.4451,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,6005740019
57.6025,17.3603,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,6105804934
61.8846,16.1591,11.6186,0,33,66,45,1770,6801,2.75421,66,8.74228,0,0,4733,6205885808
57.7604,17.3129,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6305966673
55.9659,17.868,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6406043997
59.7381,16.7397,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6506129882
60.4485,16.543,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6606220776
60.4485,16.543,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6706297171
60.4485,16.543,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6806377955
60.4485,16.543,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,6906459830
60.4485,16.543,9.75232,0,39,66,46,1780,6801,2.76827,85,8.74568,0,0,4725,7006542194
148.835,6.71887,11.0255,0,37,67,46,1785,6801,2.75448,100,8.85229,0,0,4750,7106626839
17.6822,56.5542,11.0255,0,37,67,46,1785,6801,2.75448,100,8.85229,0,0,4750,7206713343
17.6822,56.5542,11.0255,0,37,67,46,1785,6801,2.75448,100,8.85229,0,0,4750,7306795278
17.6822,56.5542,11.0255,0,37,67,46,1785,6801,2.75448,100,8.85229,0,0,4750,7406834432
3.67097,272.408,11.0255,0,37,67,46,1785,6801,2.75448,100,8.85229,0,0,4750,7506918197
