timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,power.draw,fan.speed,utilization.gpu
2026/09/17 22:24:56.697, P2, 1770, 6801, 42, 52.99, 33, 14
2026/09/17 22:24:58.722, P2, 1875, 6801, 45, 81.24, 33, 99
2026/09/17 22:25:00.750, P2, 1875, 6801, 45, 81.30, 33, 100
2026/09/17 22:25:02.780, P2, 1875, 6801, 45, 81.49, 33, 100
2026/09/17 22:25:04.809, P2, 1875, 6801, 45, 79.79, 33, 100
2026/09/17 22:25:06.836, P2, 1875, 6801, 45, 81.86, 33, 100
2026/09/17 22:25:08.865, P2, 1875, 6801, 45, 84.55, 33, 99
2026/09/17 22:25:10.889, P2, 1875, 6801, 45, 84.48, 33, 99
2026/09/17 22:25:12.914, P2, 1875, 6801, 45, 84.46, 33, 99
2026/09/17 22:25:14.937, P2, 1875, 6801, 45, 82.75, 33, 99
2026/09/17 22:25:16.961, P2, 1875, 6801, 45, 85.05, 33, 99
2026/09/17 22:25:18.984, P2, 1875, 6801, 46, 96.18, 33, 99
2026/09/17 22:25:21.011, P2, 1875, 6801, 46, 99.68, 33, 99
2026/09/17 22:25:23.034, P2, 1875, 6801, 47, 98.40, 33, 99
2026/09/17 22:25:25.057, P2, 1875, 6801, 46, 96.33, 33, 99
2026/09/17 22:25:27.079, P2, 1875, 6801, 46, 97.15, 33, 99
2026/09/17 22:25:29.101, P2, 1875, 6801, 47, 101.11, 33, 99
2026/09/17 22:25:31.125, P2, 1875, 6801, 47, 101.42, 33, 99
2026/09/17 22:25:33.148, P2, 1875, 6801, 47, 99.50, 33, 99
2026/09/17 22:25:35.170, P2, 1875, 6801, 47, 98.98, 33, 99
2026/09/17 22:25:37.191, P2, 1875, 6801, 47, 100.22, 33, 97
2026/09/17 22:25:39.213, P2, 1875, 6801, 47, 101.59, 33, 99
2026/09/17 22:25:41.235, P2, 1875, 6801, 47, 101.33, 33, 99
2026/09/17 22:25:43.257, P2, 1875, 6801, 47, 99.12, 33, 99
2026/09/17 22:25:45.280, P2, 1875, 6801, 47, 98.96, 33, 99
2026/09/17 22:25:47.304, P2, 1875, 6801, 47, 100.22, 33, 99
2026/09/17 22:25:49.325, P2, 1875, 6801, 47, 93.34, 33, 99
2026/09/17 22:25:51.348, P2, 1875, 6801, 46, 90.26, 33, 99
2026/09/17 22:25:53.371, P2, 1875, 6801, 46, 91.79, 33, 99
2026/09/17 22:25:55.393, P2, 1875, 6801, 46, 92.95, 33, 99
2026/09/17 22:25:57.416, P2, 1875, 6801, 47, 95.08, 33, 99
2026/09/17 22:25:59.439, P2, 1875, 6801, 47, 98.58, 33, 99
2026/09/17 22:26:01.462, P2, 1875, 6801, 46, 95.67, 33, 99
2026/09/17 22:26:03.485, P2, 1875, 6801, 47, 97.67, 33, 99
2026/09/17 22:26:05.508, P2, 1875, 6801, 47, 98.84, 33, 99
2026/09/17 22:26:07.531, P2, 1875, 6801, 48, 105.42, 33, 99
2026/09/17 22:26:09.552, P2, 1875, 6801, 47, 107.40, 33, 99
2026/09/17 22:26:11.574, P2, 1875, 6801, 47, 107.63, 33, 99
2026/09/17 22:26:13.597, P2, 1875, 6801, 48, 110.18, 33, 99
